Container is store 10000 elements:
0: It Cyclic cipher: ciphered_text = x, deciphered_text = a, Division = 97.0
4247: It Number cipher: ciphered_text =  803030722490486161242141424364280201410, deciphered_text = jywooobnavpeeprsisfe, function_result = 109.0
4248: It Symbols cipher: ciphered_text = zenharvg, deciphered_text = nfubqzhj, function_result = 109.0
4249: It Symbols cipher: ciphered_text = xijoqa, deciphered_text = boxner, function_result = 109.0
4250: It Number cipher: ciphered_text =  451051001649493054805323246021480, deciphered_text = cywycanapnrhenlgty, function_result = 109.0
4251: It Cyclic cipher: ciphered_text = svickfgvf, deciphered_text = cfsmupqfp, Division = 109.0
4252: It Cyclic cipher: ciphered_text = gm, deciphered_text = jp, Division = 109.0
4253: It Symbols cipher: ciphered_text = mwexsydgn, deciphered_text = jopapvsjh, function_result = 109.0
4254: It Symbols cipher: ciphered_text = aczbeama, deciphered_text = ovjseqld, function_result = 109.0
4255: It Symbols cipher: ciphered_text = nrxlig, deciphered_text = kegott, function_result = 109.0
4256: It Cyclic cipher: ciphered_text = dlbszrpwym, deciphered_text = iqgxewubdr, Division = 109.0
4257: It Number cipher: ciphered_text =  70253080307162096023072703081964, deciphered_text = gdvrmkumnqccsrgnvh, function_result = 109.0
4258: It Number cipher: ciphered_text =  8780703535271890809, deciphered_text = fisjarizzdom, function_result = 109.0
4259: It Symbols cipher: ciphered_text = mdybsf, deciphered_text = cnsnqk, function_result = 109.0
4260: It Number cipher: ciphered_text =  24401363010027363283535604912, deciphered_text = tivmrhwpbseagrn, function_result = 109.0
4261: It Cyclic cipher: ciphered_text = voa, deciphered_text = exj, Division = 109.0
4262: It Cyclic cipher: ciphered_text = phyucgvad, deciphered_text = tlcygkzeh, Division = 109.0
4263: It Symbols cipher: ciphered_text = aoywibylt, deciphered_text = ofxxvaawa, function_result = 109.0
4264: It Cyclic cipher: ciphered_text = jlxr, deciphered_text = tvhb, Division = 109.0
4265: It Cyclic cipher: ciphered_text = dlyvyueohg, deciphered_text = muhehdnxqp, Division = 109.0
4266: It Cyclic cipher: ciphered_text = qu, deciphered_text = xb, Division = 109.0
4267: It Cyclic cipher: ciphered_text = yclhgu, deciphered_text = hluqpd, Division = 109.0
4268: It Symbols cipher: ciphered_text = uuxqjsl, deciphered_text = cuvznbc, function_result = 109.0
4269: It Symbols cipher: ciphered_text = xhwp, deciphered_text = gxta, function_result = 109.0
4270: It Symbols cipher: ciphered_text = rztxkbwl, deciphered_text = vlrfitbo, function_result = 109.0
4271: It Symbols cipher: ciphered_text = lbdv, deciphered_text = yfhm, function_result = 109.0
4272: It Number cipher: ciphered_text =  3235542056307285018307451842110027723, deciphered_text = uwncdtaxpewisbzliehq, function_result = 109.05
4273: It Number cipher: ciphered_text =  21331596028242480493630816562749635, deciphered_text = vcgiwxjhefgkclxpgzss, function_result = 109.05
4274: It Number cipher: ciphered_text =  214876393902010100211280244090640607, deciphered_text = csomspbtjxvhhagvjygj, function_result = 109.05
4275: It Number cipher: ciphered_text =  356224357249896342540535163080283, deciphered_text = ojxmpexreshhvydbfkhr, function_result = 109.05
4276: It Number cipher: ciphered_text =  185244214244256090362428721280866, deciphered_text = gehpgzonxzwmnboeash, function_result = 109.05263157894737
4277: It Number cipher: ciphered_text =  3272824361881303272168042860949725, deciphered_text = upsocfcsttvfahwdoyb, function_result = 109.05263157894737
4278: It Number cipher: ciphered_text =  17072370254812201218148603580242712, deciphered_text = pkgbtiiorppvehkmiwr, function_result = 109.05263157894737
4279: It Number cipher: ciphered_text =  14163030163028707010302520324883186, deciphered_text = iizzhsuahwbxjmjixbd, function_result = 109.05263157894737
4280: It Number cipher: ciphered_text =  3542015148156561224840845216151648, deciphered_text = jotpvcpmdizgdyfbxpj, function_result = 109.05263157894737
4281: It Number cipher: ciphered_text =  80108027306702130202190307212322072, deciphered_text = bqjfmbhsuukrvnmvfj, function_result = 109.05555555555556
4282: It Number cipher: ciphered_text =  541420825125621303586203540181616, deciphered_text = plfsjbxnpojreofbsz, function_result = 109.05555555555556
4283: It Number cipher: ciphered_text =  2049203674054306010451263408156040, deciphered_text = yfkfhnyepwdufbwfwk, function_result = 109.05555555555556
4284: It Number cipher: ciphered_text =  86310065278806201012368030486327, deciphered_text = echphgszrasuqoitsd, function_result = 109.05555555555556
4285: It Number cipher: ciphered_text =  4018167224282718104520792484848, deciphered_text = nkmrguddegcevxvsw, function_result = 109.05882352941177
4286: It Number cipher: ciphered_text =  12162421122050701560707236720524, deciphered_text = sogqpmnrtesdoheev, function_result = 109.05882352941177
4287: It Number cipher: ciphered_text =  153227185016301250638128072258012, deciphered_text = qftkfuijhhjrgumnw, function_result = 109.05882352941177
4288: It Number cipher: ciphered_text =  1540274836723271840352450986, deciphered_text = losehdwtopjurilb, function_result = 109.0625
4289: It Number cipher: ciphered_text =  45322456950712104816125701456, deciphered_text = unxredjiqjhmmlyf, function_result = 109.0625
4290: It Number cipher: ciphered_text =  9349126380481164080226318, deciphered_text = gjauhoatrtsgvxig, function_result = 109.0625
4291: It Number cipher: ciphered_text =  45457012365036631618403072932, deciphered_text = cemxqftxuehqjtnb, function_result = 109.0625
4292: It Number cipher: ciphered_text =  401812205440345028143616205030, deciphered_text = gvfonzrgmyedonnd, function_result = 109.0625
4293: It Number cipher: ciphered_text =  288416564524451836340123572, deciphered_text = meyordcrsbiycup, function_result = 109.06666666666666
4294: It Number cipher: ciphered_text =  10616404121427355030183520, deciphered_text = abvfyhmtkkfvvcx, function_result = 109.06666666666666
4295: It Number cipher: ciphered_text =  22892020545090424048324056, deciphered_text = jxscvteciacvsqs, function_result = 109.06666666666666
4296: It Number cipher: ciphered_text =  4128018321100286363228348, deciphered_text = rjmopcmsvpalfs, function_result = 109.07142857142857
4297: It Number cipher: ciphered_text =  9230365410021259524415, deciphered_text = bewvfhkdvwinzh, function_result = 109.07142857142857
4298: It Number cipher: ciphered_text =  14432361003663548352801854, deciphered_text = mavjnztejqnalr, function_result = 109.07142857142857
4299: It Number cipher: ciphered_text =  904014494081821361616340, deciphered_text = iyqasvnobqbri, function_result = 109.07692307692308
4300: It Number cipher: ciphered_text =  12541010607035121815806063, deciphered_text = iwlbpdxapsdus, function_result = 109.07692307692308
4301: It Number cipher: ciphered_text =  2072542243064452521726330, deciphered_text = xrhsmeyjajlip, function_result = 109.07692307692308
4302: It Number cipher: ciphered_text =  842632141054701018422856, deciphered_text = gnglnztasenju, function_result = 109.07692307692308
4303: It Number cipher: ciphered_text =  51001840369352864414546, deciphered_text = cnnqgjwvenfot, function_result = 109.07692307692308
4304: It Number cipher: ciphered_text =  2329048362018405432121035, deciphered_text = fhgglunzeinyp, function_result = 109.07692307692308
4305: It Number cipher: ciphered_text =  6303661832182201246424, deciphered_text = lddhmlskugwlx, function_result = 109.07692307692308
4306: It Number cipher: ciphered_text =  2820188380289015012403, deciphered_text = pnrujjmtatekk, function_result = 109.07692307692308
4307: It Number cipher: ciphered_text =  195615692490488014, deciphered_text = ehlqcxirkqtm, function_result = 109.08333333333333
4308: It Number cipher: ciphered_text =  20503016100354545136166, deciphered_text = phkqepwnfaoy, function_result = 109.08333333333333
4309: It Number cipher: ciphered_text =  4027247047704850724, deciphered_text = oudvyxoacioc, function_result = 109.08333333333333
4310: It Symbols cipher: ciphered_text = ddmzkizcay, deciphered_text = ufsskmstba, function_result = 109.1
4311: It Symbols cipher: ciphered_text = fopruzhwba, deciphered_text = kweoirhusb, function_result = 109.1
4312: It Number cipher: ciphered_text =  146312166029024151090243212141480501232, deciphered_text = yjezhipmrnvnfulcmdin, function_result = 109.1
4313: It Symbols cipher: ciphered_text = fsuxlmzwir, deciphered_text = kqfqchuhnz, function_result = 109.1
4314: It Number cipher: ciphered_text =  36207070456504518241024303690901651232, deciphered_text = zihpnsgsbqlqrbirnwic, function_result = 109.1
4315: It Symbols cipher: ciphered_text = rzvailzxnv, deciphered_text = ydbzkqrkkf, function_result = 109.1
4316: It Cyclic cipher: ciphered_text = uqopdehfxs, deciphered_text = eayznorphc, Division = 109.1
4317: It Symbols cipher: ciphered_text = uzhhbvarij, deciphered_text = mpjlfwdilz, function_result = 109.1
4318: It Number cipher: ciphered_text =  60407544940963715161070274512204935, deciphered_text = mchumeizgrjnivvmxfne, function_result = 109.1
4319: It Cyclic cipher: ciphered_text = itqezhjywf, deciphered_text = ozwkfnpecl, Division = 109.1
4320: It Symbols cipher: ciphered_text = jdhxouvdbu, deciphered_text = wxwbuaaqbq, function_result = 109.1
4321: It Symbols cipher: ciphered_text = drgkaupphw, deciphered_text = dksycqqawk, function_result = 109.1
4322: It Symbols cipher: ciphered_text = owqpysnqzj, deciphered_text = bhszesdnso, function_result = 109.1
4323: It Number cipher: ciphered_text =  73634242898012692862440874860, deciphered_text = jcqqxsbffnaiprhouwt, function_result = 109.10526315789474
4324: It Number cipher: ciphered_text =  20352761036723666428242095445126440, deciphered_text = cnfunumgdlqzmhbqcyw, function_result = 109.10526315789474
4325: It Number cipher: ciphered_text =  32706633663212424726360649546340656, deciphered_text = ayvabcrrhztdupjxlbp, function_result = 109.10526315789474
4326: It Number cipher: ciphered_text =  91284290480415564543632726322736, deciphered_text = upxaihdwsrhtfliqibw, function_result = 109.10526315789474
4327: It Number cipher: ciphered_text =  30545610142824216465418183035909016100, deciphered_text = habanmgnsxyzkyycjpe, function_result = 109.10526315789474
4328: It Number cipher: ciphered_text =  7254141016544204521185432208042216318, deciphered_text = cbtgxwhkrpjtjhvyhkc, function_result = 109.10526315789474
4329: It Cyclic cipher: ciphered_text = hrjqmkzjs, deciphered_text = rbtawujtc, Division = 109.11111111111111
4330: It Cyclic cipher: ciphered_text = lvyfajcoo, deciphered_text = mwzgbkdpp, Division = 109.11111111111111
4331: It Cyclic cipher: ciphered_text = njsohdwyf, deciphered_text = vrawplegn, Division = 109.11111111111111
4332: It Symbols cipher: ciphered_text = sdpzqiwbv, deciphered_text = leguclzhx, function_result = 109.11111111111111
4333: It Number cipher: ciphered_text =  10602863327030490470451056336126, deciphered_text = zvdapjklpkkglykymc, function_result = 109.11111111111111
4334: It Symbols cipher: ciphered_text = tzjxmucnl, deciphered_text = jnlpqhsbt, function_result = 109.11111111111111
4335: It Number cipher: ciphered_text =  20916121242607620881442148127, deciphered_text = uhacynchkocqvhwlsw, function_result = 109.11111111111111
4336: It Cyclic cipher: ciphered_text = hgvpuuord, deciphered_text = rqfzeeybn, Division = 109.11111111111111
4337: It Symbols cipher: ciphered_text = gtbhmbwes, deciphered_text = plschauuq, function_result = 109.11111111111111
4338: It Number cipher: ciphered_text =  24244329124014683518123245484224, deciphered_text = wdepbkqlikqhxnroxf, function_result = 109.11111111111111
4339: It Cyclic cipher: ciphered_text = hclfksytd, deciphered_text = lgpjowcxh, Division = 109.11111111111111
4340: It Symbols cipher: ciphered_text = vkbxyhixo, deciphered_text = aftjtrylf, function_result = 109.11111111111111
4341: It Symbols cipher: ciphered_text = ehtuygglm, deciphered_text = lfwlspjqc, function_result = 109.11111111111111
4342: It Cyclic cipher: ciphered_text = pcaggqlrs, deciphered_text = reciisntu, Division = 109.11111111111111
4343: It Symbols cipher: ciphered_text = sokbwdxdo, deciphered_text = ppmjbzuck, function_result = 109.11111111111111
4344: It Cyclic cipher: ciphered_text = ykhuniidg, deciphered_text = colyrmmhk, Division = 109.11111111111111
4345: It Number cipher: ciphered_text =  2042501520103616703010812101896, deciphered_text = dxtchsqbfhprnzkuf, function_result = 109.11764705882354
4346: It Number cipher: ciphered_text =  1872759028981104021310027323518, deciphered_text = zdnemluyqwbwjdjck, function_result = 109.11764705882354
4347: It Number cipher: ciphered_text =  302012412211835162030104032321012, deciphered_text = hgudfrcownunnpxlc, function_result = 109.11764705882354
4348: It Number cipher: ciphered_text =  2876488352028540128544270127, deciphered_text = zzcbviosfzfygjlde, function_result = 109.11764705882354
4349: It Number cipher: ciphered_text =  721211035812520452472503585636, deciphered_text = bqhkeswwqjjhpqwlb, function_result = 109.11764705882354
4350: It Number cipher: ciphered_text =  88030530100123630920281024802148, deciphered_text = flmppoprigaofqmyr, function_result = 109.11764705882354
4351: It Number cipher: ciphered_text =  3027181359025121542372424902020, deciphered_text = czkfwnglcqotciyhu, function_result = 109.11764705882354
4352: It Number cipher: ciphered_text =  7080104661052027721010930100, deciphered_text = ziazjidpsjwkltjd, function_result = 109.125
4353: It Symbols cipher: ciphered_text = ddtweqmn, deciphered_text = niodtzle, function_result = 109.125
4354: It Symbols cipher: ciphered_text = wrbxuuui, deciphered_text = armctzwa, function_result = 109.125
4355: It Cyclic cipher: ciphered_text = tqvcmloy, deciphered_text = axcjtsvf, Division = 109.125
4356: It Symbols cipher: ciphered_text = sjtwapdn, deciphered_text = colybgxq, function_result = 109.125
4357: It Cyclic cipher: ciphered_text = ugxizumd, deciphered_text = ykbmdyqh, Division = 109.125
4358: It Symbols cipher: ciphered_text = txjcxlhc, deciphered_text = jsjiktay, function_result = 109.125
4359: It Symbols cipher: ciphered_text = fdhmdoeg, deciphered_text = efluluht, function_result = 109.125
4360: It Symbols cipher: ciphered_text = lqgabwvd, deciphered_text = jikukcnz, function_result = 109.125
4361: It Number cipher: ciphered_text =  4263187027901872166018649108025, deciphered_text = pcvicvywcadyuepl, function_result = 109.125
4362: It Symbols cipher: ciphered_text = djkvtkku, deciphered_text = wblqkhqo, function_result = 109.125
4363: It Cyclic cipher: ciphered_text = afaxibsm, deciphered_text = hmhepizt, Division = 109.125
4364: It Cyclic cipher: ciphered_text = xktfjpaa, deciphered_text = zmvhlrcc, Division = 109.125
4365: It Cyclic cipher: ciphered_text = kakbmwvn, deciphered_text = lblcnxwo, Division = 109.125
4366: It Symbols cipher: ciphered_text = bsncndir, deciphered_text = lvtkdygd, function_result = 109.125
4367: It Number cipher: ciphered_text =  908030642060145630488154510, deciphered_text = jkidnpooawyjkmt, function_result = 109.13333333333334
4368: It Number cipher: ciphered_text =  27928142463803010024169123020, deciphered_text = juakraapunuaryr, function_result = 109.13333333333334
4369: It Number cipher: ciphered_text =  4954741829332416242050, deciphered_text = ngwqhdxkkroyfma, function_result = 109.13333333333334
4370: It Number cipher: ciphered_text =  50361002516423574049503550, deciphered_text = iqwugriacswfwe, function_result = 109.14285714285714
4371: It Symbols cipher: ciphered_text = ciywhpx, deciphered_text = xlhetre, function_result = 109.14285714285714
4372: It Number cipher: ciphered_text =  80153664484230701049591235, deciphered_text = dnnhmdssbxbxnw, function_result = 109.14285714285714
4373: It Symbols cipher: ciphered_text = ouvzcpu, deciphered_text = nrxcies, function_result = 109.14285714285714
4374: It Number cipher: ciphered_text =  20642602721071615488221, deciphered_text = jjbjlugqdinxys, function_result = 109.14285714285714
4375: It Number cipher: ciphered_text =  172563016624920304233, deciphered_text = ffoefotfxzxbdy, function_result = 109.14285714285714
4376: It Symbols cipher: ciphered_text = nvatmts, deciphered_text = pbwiqsf, function_result = 109.14285714285714
4377: It Cyclic cipher: ciphered_text = qdrfrxv, deciphered_text = viwkwca, Division = 109.14285714285714
4378: It Symbols cipher: ciphered_text = obdkmbn, deciphered_text = ifnrtvc, function_result = 109.14285714285714
4379: It Symbols cipher: ciphered_text = hmsimcb, deciphered_text = vbbqwdv, function_result = 109.14285714285714
4380: It Symbols cipher: ciphered_text = orbslnk, deciphered_text = anrudlv, function_result = 109.14285714285714
4381: It Cyclic cipher: ciphered_text = fcxsfri, deciphered_text = gdytgsj, Division = 109.14285714285714
4382: It Symbols cipher: ciphered_text = bjjiejx, deciphered_text = mcwxfer, function_result = 109.14285714285714
4383: It Cyclic cipher: ciphered_text = qcogzxc, deciphered_text = xjvngej, Division = 109.14285714285714
4384: It Number cipher: ciphered_text =  2050188722450735285424818, deciphered_text = idjxejtfsgzczo, function_result = 109.14285714285714
4385: It Number cipher: ciphered_text =  745124512403040243548217230, deciphered_text = kxhhzpbmtlnkhk, function_result = 109.14285714285714
4386: It Symbols cipher: ciphered_text = kdwtqyy, deciphered_text = zioxmda, function_result = 109.14285714285714
4387: It Cyclic cipher: ciphered_text = recmgsp, deciphered_text = anlvpby, Division = 109.14285714285714
4388: It Symbols cipher: ciphered_text = jrghuka, deciphered_text = oqvjhgm, function_result = 109.14285714285714
4389: It Cyclic cipher: ciphered_text = neujcig, deciphered_text = ulbqjpn, Division = 109.14285714285714
4390: It Number cipher: ciphered_text =  809602835361430120162116380186324390, deciphered_text = etkhqgdckjizuldtmrys, function_result = 109.15
4391: It Number cipher: ciphered_text =  4596028612530904301250276028188094, deciphered_text = wfqgtztaldeamrbvklvu, function_result = 109.15
4392: It Number cipher: ciphered_text =  122024241482816603080633080510101212, deciphered_text = yhsxfmtunrberbgeezjo, function_result = 109.15
4393: It Number cipher: ciphered_text =  808036403210401848100242748126840165645, deciphered_text = hiiqwyflyiocoakvmpgq, function_result = 109.15
4394: It Number cipher: ciphered_text =  3618541614562012932288130, deciphered_text = hemdxukuubupd, function_result = 109.15384615384616
4395: It Number cipher: ciphered_text =  5620201535960723021482490, deciphered_text = pfizsnasczjjl, function_result = 109.15384615384616
4396: It Number cipher: ciphered_text =  91425657020485020351018, deciphered_text = ktilevcfsxvgk, function_result = 109.15384615384616
4397: It Number cipher: ciphered_text =  3653635278416322010430, deciphered_text = kqdhttjdpessr, function_result = 109.15384615384616
4398: It Number cipher: ciphered_text =  2541510024152116151663242, deciphered_text = xnpkxptbdbqta, function_result = 109.15384615384616
4399: It Number cipher: ciphered_text =  524241260100549424012806032642242536, deciphered_text = jwdsugpjqmrbmluhshi, function_result = 109.15789473684211
4400: It Number cipher: ciphered_text =  289930143074087720271004100166, deciphered_text = gqavynnizbhtwduvfgb, function_result = 109.15789473684211
4401: It Number cipher: ciphered_text =  14812812561872636277245242040702730, deciphered_text = cidxnyfpsknfptkhpug, function_result = 109.15789473684211
4402: It Symbols cipher: ciphered_text = shlhdx, deciphered_text = vrfmlh, function_result = 109.16666666666667
4403: It Cyclic cipher: ciphered_text = lnyfjn, deciphered_text = prcjnr, Division = 109.16666666666667
4404: It Cyclic cipher: ciphered_text = uhgiae, deciphered_text = dqprjn, Division = 109.16666666666667
4405: It Symbols cipher: ciphered_text = hfbqug, deciphered_text = dxchsu, function_result = 109.16666666666667
4406: It Number cipher: ciphered_text =  495410207028864100162021040282418, deciphered_text = kwtovetghxiikqsclb, function_result = 109.16666666666667
4407: It Number cipher: ciphered_text =  704724936430258424, deciphered_text = ggvnsaarttex, function_result = 109.16666666666667
4408: It Symbols cipher: ciphered_text = htrfgy, deciphered_text = seyvfb, function_result = 109.16666666666667
4409: It Number cipher: ciphered_text =  1254362050153628548590, deciphered_text = jzhvetcanftw, function_result = 109.16666666666667
4410: It Symbols cipher: ciphered_text = qlbiil, deciphered_text = ikayxi, function_result = 109.16666666666667
4411: It Number cipher: ciphered_text =  91492452167361448, deciphered_text = bkdbvxxemhtw, function_result = 109.16666666666667
4412: It Symbols cipher: ciphered_text = rcfrmd, deciphered_text = pjthml, function_result = 109.16666666666667
4413: It Number cipher: ciphered_text =  103087426318203451548812545780, deciphered_text = fgrstiwimbwbnjzlaw, function_result = 109.16666666666667
4414: It Symbols cipher: ciphered_text = sqpnjy, deciphered_text = cavsiy, function_result = 109.16666666666667
4415: It Symbols cipher: ciphered_text = rlsbni, deciphered_text = dbzcys, function_result = 109.16666666666667
4416: It Number cipher: ciphered_text =  3624407568316661830424510161035, deciphered_text = xcupixezpscdkcewqh, function_result = 109.16666666666667
4417: It Number cipher: ciphered_text =  501056284028143616806504548281236, deciphered_text = bjyjsbgixnwvzjauci, function_result = 109.16666666666667
4418: It Number cipher: ciphered_text =  24406271003902745213563, deciphered_text = pzxaxjyndbhd, function_result = 109.16666666666667
4419: It Symbols cipher: ciphered_text = pbfhgp, deciphered_text = imcnus, function_result = 109.16666666666667
4420: It Number cipher: ciphered_text =  928161089724040481518102036815424, deciphered_text = clbfrhwbzdjazswzom, function_result = 109.16666666666667
4421: It Cyclic cipher: ciphered_text = mzozqj, deciphered_text = qdsdun, Division = 109.16666666666667
4422: It Number cipher: ciphered_text =  654322121532950202156, deciphered_text = gxfiivdoyoua, function_result = 109.16666666666667
4423: It Number cipher: ciphered_text =  1818810361848243027482028501610, deciphered_text = mqqdckmpvpqirqfvc, function_result = 109.17647058823529
4424: It Number cipher: ciphered_text =  5463772901828100284940802790306440, deciphered_text = hhoncxeoboeuevmwz, function_result = 109.17647058823529
4425: It Number cipher: ciphered_text =  708141252118566464451863141030, deciphered_text = jckiovkyhwofannnw, function_result = 109.17647058823529
4426: It Number cipher: ciphered_text =  610373072801010412246012259, deciphered_text = sxqmsncdpchfxgmjx, function_result = 109.17647058823529
4427: It Number cipher: ciphered_text =  80423336634861081050408180124, deciphered_text = sogwrukztulfdacap, function_result = 109.17647058823529
4428: It Number cipher: ciphered_text =  7249244052718325051891821020, deciphered_text = incwhwkkrsjfhxvb, function_result = 109.1875
4429: It Number cipher: ciphered_text =  3515368080351249481627161270368, deciphered_text = wgenfrwsxxbmsefc, function_result = 109.1875
4430: It Number cipher: ciphered_text =  5636368506422636143512813510, deciphered_text = rowxaljxbpetnnhe, function_result = 109.1875
4431: It Number cipher: ciphered_text =  24336428453570124014601001486, deciphered_text = atznfkhogrrjzdqj, function_result = 109.1875
4432: It Number cipher: ciphered_text =  141863127020352142271656410634, deciphered_text = saeqyxodzccjqndx, function_result = 109.1875
4433: It Symbols cipher: ciphered_text = wpetkkuzjs, deciphered_text = inivzgmlmg, function_result = 109.2
4434: It Symbols cipher: ciphered_text = weeykzfhls, deciphered_text = hwdtrvekil, function_result = 109.2
4435: It Number cipher: ciphered_text =  288028201260815649203221642056352172, deciphered_text = xpeqisemydeppwfptofd, function_result = 109.2
4436: It Symbols cipher: ciphered_text = ehpvidjcgf, deciphered_text = eptwvcdkcy, function_result = 109.2
4437: It Number cipher: ciphered_text =  208012048631650307022069546436403018, deciphered_text = ptwhgfkkpjseeszjhsud, function_result = 109.2
4438: It Cyclic cipher: ciphered_text = tcdkrvnwra, deciphered_text = yhipwasbwf, Division = 109.2
4439: It Number cipher: ciphered_text =  2480322663252432061272804, deciphered_text = abrvluimhrhytmh, function_result = 109.2
4440: It Number cipher: ciphered_text =  920352745959163082030703, deciphered_text = jwdixmnrpozaqbf, function_result = 109.2
4441: It Symbols cipher: ciphered_text = rzapo, deciphered_text = scflz, function_result = 109.2
4442: It Symbols cipher: ciphered_text = tyraddzhqd, deciphered_text = ebwjiyyhnk, function_result = 109.2
4443: It Symbols cipher: ciphered_text = fcohoremdw, deciphered_text = ajdykogwqs, function_result = 109.2
4444: It Symbols cipher: ciphered_text = csbnu, deciphered_text = qdsgs, function_result = 109.2
4445: It Cyclic cipher: ciphered_text = zyerm, deciphered_text = azfsn, Division = 109.2
4446: It Cyclic cipher: ciphered_text = nadfrolhdj, deciphered_text = rehjvsplhn, Division = 109.2
4447: It Symbols cipher: ciphered_text = luwrp, deciphered_text = vemeu, function_result = 109.2
4448: It Cyclic cipher: ciphered_text = cleek, deciphered_text = irkkq, Division = 109.2
4449: It Symbols cipher: ciphered_text = jdyttcaywl, deciphered_text = qciuortvcd, function_result = 109.2
4450: It Number cipher: ciphered_text =  45244964544914249544280218301472307028, deciphered_text = iivygvirsgrljwbcunfh, function_result = 109.2
4451: It Cyclic cipher: ciphered_text = wwfsuqgoun, deciphered_text = ddmzbxnvbu, Division = 109.2
4452: It Symbols cipher: ciphered_text = yworjaqujw, deciphered_text = hcqurujctk, function_result = 109.2
4453: It Cyclic cipher: ciphered_text = yflti, deciphered_text = cjpxm, Division = 109.2
4454: It Number cipher: ciphered_text =  705642320401814282461418814, deciphered_text = grnhxjnksdyjfom, function_result = 109.2
4455: It Symbols cipher: ciphered_text = rpnck, deciphered_text = akcyz, function_result = 109.2
4456: It Cyclic cipher: ciphered_text = khrtxjzncv, deciphered_text = spzbfrhvkd, Division = 109.2
4457: It Cyclic cipher: ciphered_text = jrxjf, deciphered_text = tbhtp, Division = 109.2
4458: It Cyclic cipher: ciphered_text = bznirydzhr, deciphered_text = hftoxejfnx, Division = 109.2
4459: It Cyclic cipher: ciphered_text = ypzhs, deciphered_text = izjrc, Division = 109.2
4460: It Symbols cipher: ciphered_text = nhgiutqcab, deciphered_text = zsjpebglrq, function_result = 109.2
4461: It Symbols cipher: ciphered_text = ynvny, deciphered_text = wkrei, function_result = 109.2
4462: It Symbols cipher: ciphered_text = dxaqzgxgic, deciphered_text = zrrkcyhcmg, function_result = 109.2
4463: It Cyclic cipher: ciphered_text = yllbgxvpvl, deciphered_text = booejaysyo, Division = 109.2
4464: It Number cipher: ciphered_text =  366324183075625801521512104, deciphered_text = oyukbhdyogkcpmv, function_result = 109.2
4465: It Cyclic cipher: ciphered_text = ldjyq, deciphered_text = vntia, Division = 109.2
4466: It Symbols cipher: ciphered_text = ctycr, deciphered_text = mvpcl, function_result = 109.2
4467: It Number cipher: ciphered_text =  303015109112814903263902030, deciphered_text = gewjrxmbsphfuya, function_result = 109.2
4468: It Cyclic cipher: ciphered_text = umsaydwcpc, deciphered_text = xpvdbgzfsf, Division = 109.2
4469: It Number cipher: ciphered_text =  1414716803214359061228351240, deciphered_text = hqrilbuphbdvqws, function_result = 109.2
4470: It Symbols cipher: ciphered_text = wvils, deciphered_text = vhntb, function_result = 109.2
4471: It Symbols cipher: ciphered_text = gflmmvszxd, deciphered_text = rosfztbjhh, function_result = 109.2
4472: It Cyclic cipher: ciphered_text = ckjkv, deciphered_text = jrqrc, Division = 109.2
4473: It Cyclic cipher: ciphered_text = manew, deciphered_text = ocpgy, Division = 109.2
4474: It Number cipher: ciphered_text =  561550100123024324362160454032, deciphered_text = srhtstjsqjmieja, function_result = 109.2
4475: It Number cipher: ciphered_text =  81002549886324128272832616, deciphered_text = ggkyzvclcravohr, function_result = 109.2
4476: It Cyclic cipher: ciphered_text = qeegl, deciphered_text = uiikp, Division = 109.2
4477: It Cyclic cipher: ciphered_text = fgrib, deciphered_text = pqbsl, Division = 109.2
4478: It Cyclic cipher: ciphered_text = queal, deciphered_text = swgcn, Division = 109.2
4479: It Symbols cipher: ciphered_text = monlfjaxkf, deciphered_text = zhfiyaxyce, function_result = 109.2
4480: It Number cipher: ciphered_text =  2435510601511827183047249164880186, deciphered_text = cohqjsxcmtnocuoasop, function_result = 109.21052631578948
4481: It Number cipher: ciphered_text =  4512491871690490201082456, deciphered_text = ommjuoohlxdpdo, function_result = 109.21428571428571
4482: It Number cipher: ciphered_text =  3235970244121654167908036, deciphered_text = curvcvugxajgcw, function_result = 109.21428571428571
4483: It Number cipher: ciphered_text =  122063271221352012581030736501290, deciphered_text = xrbtrqtoghnmvdajte, function_result = 109.22222222222223
4484: It Symbols cipher: ciphered_text = tsiellnra, deciphered_text = byschooqo, function_result = 109.22222222222223
4485: It Cyclic cipher: ciphered_text = ojusxxozg, deciphered_text = snywbbsdk, Division = 109.22222222222223
4486: It Number cipher: ciphered_text =  52454126423615356316455010440106, deciphered_text = jmaxdgvtvrjvzeajav, function_result = 109.22222222222223
4487: It Cyclic cipher: ciphered_text = uexbzgohy, deciphered_text = eohljqyri, Division = 109.22222222222223
4488: It Symbols cipher: ciphered_text = aqsikfeyh, deciphered_text = bmtixwcax, function_result = 109.22222222222223
4489: It Cyclic cipher: ciphered_text = hzrniggev, deciphered_text = qiawrppne, Division = 109.22222222222223
4490: It Cyclic cipher: ciphered_text = rkvojzwwc, deciphered_text = zsdwrheek, Division = 109.22222222222223
4491: It Symbols cipher: ciphered_text = juvxzkasv, deciphered_text = hiszkvear, function_result = 109.22222222222223
4492: It Symbols cipher: ciphered_text = ohxenazaj, deciphered_text = gmegsyiqq, function_result = 109.22222222222223
4493: It Cyclic cipher: ciphered_text = ydxrkmlee, deciphered_text = ejdxqsrkk, Division = 109.22222222222223
